source,target_uri,target,type
dragonzaghnal.bsky.social,at://did:plc:fpxijle22jmgljwqagcxfwau/app.bsky.feed.post/3mokuwxemok2s,lawendt.bsky.social,reply
martinvermeer.fediscience.org.ap.brid.gy,at://did:plc:4swgwbxjyjq3fcadp6j3oc6k/app.bsky.feed.post/3mokysofxfpl2,mrundkvist.archaeo.social.ap.brid.gy,reply
croak.fairy.blue,at://did:plc:qdrm5xk7i4um4tbwi3r6idzb/app.bsky.feed.post/3mol5ubf5fk2a,,reply
micahbateman.bsky.social,at://did:plc:wrpv75qosy4kvk4iir4wtj55/app.bsky.feed.post/3mol7jpdln22h,,reply
koralynne.bsky.social,at://did:plc:tdi652ts27xr2hwxgzidkots/app.bsky.feed.post/3molg5xrrkd2g,,reply
koralynne.bsky.social,at://did:plc:tdi652ts27xr2hwxgzidkots/app.bsky.feed.post/3molg5xrtit2g,koralynne.bsky.social,reply
gamutlute.bsky.social,at://did:plc:tmqzei3hkkehpccnoszqfofp/app.bsky.feed.post/3mole43fh7s2v,,reply
crossbeats.bsky.social,at://did:plc:zyqbami2zrhll5gepcx3mey2/app.bsky.feed.post/3momhzchhbs24,,reply
manybeary.bsky.social,at://did:plc:g77neurx7i62ucxhsgjl35og/app.bsky.feed.post/3molud46cw222,,reply
dandelion-bunny.bsky.social,at://did:plc:h64fqiskgq6ybttkc7y4shef/app.bsky.feed.post/3momx4slt652f,,reply
mrrandom28.bsky.social,at://did:plc:d2sgh4umddjehf5knleespgp/app.bsky.feed.post/3momxss5gm2at,,reply
gbaspgamer.bsky.social,at://did:plc:jmgfyyalowqlv2dggxdtj5vz/app.bsky.feed.post/3monbuqq4ck23,gbaspgamer.bsky.social,reply
ukeblender.bsky.social,at://did:plc:eb2mbd6qht5hni2n7tuqp4si/app.bsky.feed.post/3mond63uvlc2c,,reply
out-tome.bsky.social,at://did:plc:sd5j22tuaciqcezjcl5wym7p/app.bsky.feed.post/3moniwvq6qc2v,out-tome.bsky.social,reply
ninagonzalez.bsky.social,at://did:plc:xmjeqqdhsfz7p2lsrrlss7ef/app.bsky.feed.post/3monn35iups2t,,reply
aricake.eu,at://did:plc:kmedzleykfszin4fbxvxrwzv/app.bsky.feed.post/3monm3qftwc24,,reply
mickeon.bsky.social,at://did:plc:fy33mgjzegid56spk6wk7bma/app.bsky.feed.post/3monlubjskc2i,,reply
chris-ghosty77.bsky.social,at://did:plc:uth3wh24n7ui42ufslxqfy2l/app.bsky.feed.post/3moo4wln7ck2d,,reply
keilaura.bsky.social,at://did:plc:lpoau23qvj36m6hrafedqghu/app.bsky.feed.post/3moplfgopnc2q,,reply
wargamingscribe.bsky.social,at://did:plc:drq2vrnkrlkw7pvmxjgkjqdp/app.bsky.feed.post/3monkaxtwks2f,,reply
sewayou.com,at://did:plc:s6ceoi3fzu4lxbptxol47u4j/app.bsky.feed.post/3mok4eavjis2k,,reply
dominictarason.com,at://did:plc:knybgc4siigl22kc5t4new4w/app.bsky.feed.post/3moqywqxuub2h,,reply
roronme0.bsky.social,at://did:plc:mlspfhzyrusngyk662jk3pnw/app.bsky.feed.post/3morfwahp7f2n,,reply
eltipejoloco.bsky.social,at://did:plc:dkcf6ljd5st7jw7jbtyfvqlv/app.bsky.feed.post/3mos4gh3gp22m,,reply
andrewtheblueskier.bsky.social,at://did:plc:iy6h7sze2eofue7in34fmsvz/app.bsky.feed.post/3mosmnr7imc23,,reply
boulderguy.bsky.social,at://did:plc:uu2qbacmtekr6eftvedx2v2w/app.bsky.feed.post/3mospy4ways2b,,reply
simonthevampyre.itch.io,at://did:plc:ab7orcpqi4lhl5jk2dac7hol/app.bsky.feed.post/3mosxa2cwrc2u,,reply
dhpljm266.bsky.social,at://did:plc:3ad7owl7vxmc47drgstmp6om/app.bsky.feed.post/3mot563j7cc2l,,reply
render87.bsky.social,at://did:plc:ab5f2ega2vb6jjmjaum5apur/app.bsky.feed.post/3mossag7ask2r,boulderguy.bsky.social,reply
morninkim.bsky.social,at://did:plc:sonjv5vxcu3n7hxf5gjpupxk/app.bsky.feed.post/3mouabcccgk2p,,reply
